"Date","Time","TimeZone","Name","Type","Status","Currency","Gross","Fee","Net","FromEmailAddress","ToEmailAddress","TransactionID","CounterpartyStatus","AddressStatus","ItemTitle","ItemID","ShippingandHandlingAmount","InsuranceAmount","SalesTax","Option1Name","Option1Value","Option2Name","Option2Value","AuctionSite","BuyerID","ItemURL","ClosingDate","EscrowId","InvoiceId","ReferenceTxnID","InvoiceNumber","CustomNumber","Quantity","ReceiptID","Balance","AddressLine1","AddressLine2","City","State","Zip","Country","ContactPhoneNumber","Extra"
"2018-08-11","16:47:29","GMT","Souhei Utsumi","Shopping Cart Item","Completed","USD",69,0,0,"Souhei.Utsumi@mailinator.com","N/A","SAMPLE7EY25845B919269","Non-US - Unverified",,"Putler's Guide to Sales Analysis - eBook","PGSA-EB",0,0,0,,,,,,,,"0000-00-00",,,,"12bpd8budo1clycgjufiyejw8w0484kwg0c40ow","[%eci17500926|27b0dbe4b1eci%]",1,,38362.01,,,,,,,,
"2018-08-11","18:25:40","GMT","Archer Bowes","Web Accept Payment Received","Completed","USD",69,-2.65,66.35,"Archer.Bowes@dodgit.com","N/A","SAMPLE9UY86377VG81284","Verified",,"Putler's Guide to Sales Analysis - eBook","PGSA-EB",0,0,0,,,,,,,,"0000-00-00",,,,"12bpd8bxaegkcna2hahuntxa80o4g0wocw0o4co","[%b6qod16b%]",1,,38428.36,,,,,,,,
"2018-08-14","00:17:48","GMT","Iivari Lilja","Shopping Cart Payment Received","Completed","USD",149,-5.37,143.63,"Iivari.Lilja@trashymail.com","N/A","SAMPLE0WG991627K95157","Non-US - Verified",,"Shopping Cart",,0,0,0,"Selected",,,,,,,"0000-00-00",,,,"12bpd8eiovexrydlymeeuvle8844ok8kw0co4ws","[%eci17563185|fec7ac356eeci%]",1,,39563.72,"Brogade 91",,"Espergærde",,3060,"DK",,
"2018-08-14","00:17:48","GMT","Iivari Lilja","Shopping Cart Item","Completed","USD",149,0,0,"Iivari.Lilja@trashymail.com","N/A","SAMPLE0WG991627K95157","Non-US - Verified",,"Web Entrepreneurs' Club - Annual","WEC-Y",0,0,0,,,,,,,,"0000-00-00",,,,"12bpd8eiovexrydlymeeuvle8844ok8kw0co4ws","[%eci17563185|fec7ac356eeci%]",1,,39563.72,"Brogade 91",,"Espergærde",,3060,"DK",,
"2018-08-15","05:56:27","GMT","Madison Short","Shopping Cart Payment Received","Completed","USD",29,-1.29,27.71,"Madison.Short@mailinator.com","N/A","SAMPLE7XX25264N954035","Verified",,"Shopping Cart",,0,0,0,,,,,,,,"0000-00-00",,,,,,1,,34933.49,,,,,,,,
"2018-08-15","05:56:27","GMT","Madison Short","Shopping Cart Item","Completed","USD",29,0,0,"Madison.Short@mailinator.com","N/A","SAMPLE7XX25264N954035","Verified",,"Putler's Guide to Sales Analysis - Audio Book","PGSA-AB",0,0,0,,,,,,,,"0000-00-00",,,,,,1,,34933.49,,,,,,,,
"2018-08-17","01:59:49","GMT","Nkemjika Chimaraoke","Shopping Cart Payment Received","Completed","USD",258,-9.07,248.93,"Nkemjika.Chimaraoke@trashymail.com","N/A","SAMPLE72S25870G860770","Non-US - Unregistered",,"Shopping Cart",,0,0,0,,,,,,,,"0000-00-00",,,,,,4,"2792-7187-1767-0066",35727.86,,,,,,,,
"2018-08-17","01:59:49","GMT","Nkemjika Chimaraoke","Shopping Cart Item","Completed","USD",149,0,0,"Nkemjika.Chimaraoke@trashymail.com","N/A","SAMPLE72S25870G860770","Non-US - Unregistered",,"Web Entrepreneurs' Club - Annual","WEC-Y",0,0,0,,,,,,,,"0000-00-00",,,,,,1,"2792-7187-1767-0066",35727.86,,,,,,,,
"2018-08-17","01:59:49","GMT","Nkemjika Chimaraoke","Shopping Cart Item","Completed","USD",69,0,0,"Nkemjika.Chimaraoke@trashymail.com","N/A","SAMPLE72S25870G860770","Non-US - Unregistered",,"Putler's Guide to Sales Analysis - eBook","PGSA-EB",0,0,0,,,,,,,,"0000-00-00",,,,,,1,"2792-7187-1767-0066",35727.86,,,,,,,,
"2018-08-17","01:59:49","GMT","Nkemjika Chimaraoke","Shopping Cart Item","Completed","USD",21,0,0,"Nkemjika.Chimaraoke@trashymail.com","N/A","SAMPLE72S25870G860770","Non-US - Unregistered",,"Social Media Success Blueprint","SMSB",0,0,0,,,,,,,,"0000-00-00",,,,,,1,"2792-7187-1767-0066",35727.86,,,,,,,,
"2018-08-17","01:59:49","GMT","Nkemjika Chimaraoke","Shopping Cart Item","Completed","USD",19,0,0,"Nkemjika.Chimaraoke@trashymail.com","N/A","SAMPLE72S25870G860770","Non-US - Unregistered",,"Surviving Taxes, Laws and Consultants - eBook","STLC-EB",0,0,0,,,,,,,,"0000-00-00",,,,,,1,"2792-7187-1767-0066",35727.86,,,,,,,,
"2018-08-18","19:26:27","GMT","Anzu Ishibashi","Shopping Cart Payment Received","Completed","USD",69,-2.65,66.35,"Anzu.Ishibashi@mailinator.com","N/A","SAMPLE6X3134545K78307","Non-US - Unregistered",,"Shopping Cart",,0,0,0,,,,,,,,"0000-00-00",,,,,,1,"2253-9175-0550-2158",36118.54,,,,,,,,
"2018-08-18","19:26:27","GMT","Anzu Ishibashi","Shopping Cart Item","Completed","USD",69,0,0,"Anzu.Ishibashi@mailinator.com","N/A","SAMPLE6X3134545K78307","Non-US - Unregistered",,"Putler's Guide to Sales Analysis - eBook","PGSA-EB",0,0,0,,,,,,,,"0000-00-00",,,,,,1,"2253-9175-0550-2158",36118.54,,,,,,,,
"2018-08-19","01:19:28","GMT","Ostoja Posavec","Web Accept Payment Received","Completed","USD",90,-3.36,86.64,"Ostoja.Posavec@pookmail.com","N/A","SAMPLE3H5439570E74162","Unregistered",,"Wordpress Theme Pack for Web Businesses","WTPWB",0,0,0,,,,,,,,"0000-00-00",,,,"12bpd8kciv5w8q5b6sqejjb9c0g480wogs0000c","pdb1efd3e96358414e2bf8d04939301568[%b-p44xs8b%]",1,"2285-5358-2003-8120",36299.24,,,,,,,,
"2018-08-19","22:36:42","GMT","Germain Baca","Shopping Cart Payment Received","Completed","USD",149,-5.37,143.63,"Germain.Baca.Palacios@mailinator.com","N/A","SAMPLE73E76137D917515","Non-US - Verified",,"Shopping Cart",,0,0,0,,,,,,,,"0000-00-00",,,,,,1,,37119.54,"Pfarrgasse 49",,"MITTERFLADNITZ",,8322,"AT",,
"2018-08-19","22:36:42","GMT","Germain Baca","Shopping Cart Item","Completed","USD",149,0,0,"Germain.Baca.Palacios@mailinator.com","N/A","SAMPLE73E76137D917515","Non-US - Verified",,"Web Entrepreneurs' Club - Annual","WEC-Y",0,0,0,,,,,,,,"0000-00-00",,,,,,1,,37119.54,"Pfarrgasse 49",,"MITTERFLADNITZ",,8322,"AT",,
"2018-08-20","00:14:26","GMT","Lucjana Dubravčić","Shopping Cart Payment Received","Completed","USD",29,-1.29,27.71,"Lucjana.Dubravi@pookmail.com","N/A","SAMPLE1DE88383GU83527","Unregistered",,"Shopping Cart",,0,0,0,,,,,,,,"0000-00-00",,,,,,1,"0700-9097-9858-1109",37147.25,,,,,,,,
"2018-08-20","00:14:26","GMT","Lucjana Dubravčić","Shopping Cart Item","Completed","USD",29,0,0,"Lucjana.Dubravi@pookmail.com","N/A","SAMPLE1DE88383GU83527","Unregistered",,"Putler's Guide to Sales Analysis - Audio Book","PGSA-AB",0,0,0,,,,,,,,"0000-00-00",,,,,,1,"0700-9097-9858-1109",37147.25,,,,,,,,
"2018-08-20","09:09:08","GMT","Tom Clark","Shopping Cart Payment Received","Completed","USD",29,-1.29,27.71,"Tom.Clark@trashymail.com","N/A","SAMPLE4XV77883U378182","Verified",,"Shopping Cart",,0,0,0,,,,,,,,"0000-00-00",,,,,,1,,37174.96,,,,,,,,
"2018-08-20","09:09:08","GMT","Tom Clark","Shopping Cart Item","Completed","USD",29,0,0,"Tom.Clark@trashymail.com","N/A","SAMPLE4XV77883U378182","Verified",,"Putler's Guide to Sales Analysis - Audio Book","PGSA-AB",0,0,0,,,,,,,,"0000-00-00",,,,,,1,,37174.96,,,,,,,,
"2018-08-20","09:09:40","GMT","Lian Wang","Shopping Cart Payment Received","Completed","USD",98,-3.63,94.37,"Lian.Wang@dodgit.com","N/A","SAMPLE0SL565684K26182","Verified",,"Shopping Cart",,0,0,0,,,,,,,,"0000-00-00",,,,,,2,,37269.33,,,,,,,,
"2018-08-20","09:09:40","GMT","Lian Wang","Shopping Cart Item","Completed","USD",39,0,0,"Lian.Wang@dodgit.com","N/A","SAMPLE0SL565684K26182","Verified",,"Putler's Guide to Sales Analysis - eBook - Special","PGSA-EB-S",0,0,0,,,,,,,,"0000-00-00",,,,,,1,,37269.33,,,,,,,,
"2018-08-20","09:09:40","GMT","Lian Wang","Shopping Cart Item","Completed","USD",59,0,0,"Lian.Wang@dodgit.com","N/A","SAMPLE0SL565684K26182","Verified",,"Web Entrepreneurs' Club - Renewal","WEC-R",0,0,0,,,,,,,,"0000-00-00",,,,,,1,,37269.33,,,,,,,,
"2018-08-24","13:07:19","GMT","Michael Friedman","Shopping Cart Payment Received","Completed","USD",29,-1.29,27.71,"Michael.Friedman@spambob.com","N/A","SAMPLE9T253726A027466","Non-US - Verified",,"Shopping Cart",,0,0,0,,,,,,,,"0000-00-00",,,,,,1,,39006.2,"84 Garden Place",,"RICHMOND PLAINS","VIC",3518,"AU","(03) 5334 9526",
"2018-08-24","13:07:19","GMT","Michael Friedman","Shopping Cart Item","Completed","USD",29,0,0,"Michael.Friedman@spambob.com","N/A","SAMPLE9T253726A027466","Non-US - Verified",,"Putler's Guide to Sales Analysis - Audio Book","PGSA-AB",0,0,0,,,,,,,,"0000-00-00",,,,,,1,,39006.2,"84 Garden Place",,"RICHMOND PLAINS","VIC",3518,"AU","(03) 5334 9526",
"2018-08-25","02:02:16","GMT","Ivo Olsen","Shopping Cart Payment Received","Completed","USD",149,-5.37,143.63,"Ivo.A.Olsen@dodgit.com","N/A","SAMPLE776590320E37618","Unregistered",,"Shopping Cart",,0,0,0,,,,,,,,"0000-00-00",,,,,,1,"3764-3320-6926-9337",39330.53,,,,,,,,
"2018-08-25","02:02:16","GMT","Ivo Olsen","Shopping Cart Item","Completed","USD",149,0,0,"Ivo.A.Olsen@dodgit.com","N/A","SAMPLE776590320E37618","Unregistered",,"Web Entrepreneurs' Club - Annual","WEC-Y",0,0,0,,,,,,,,"0000-00-00",,,,,,1,"3764-3320-6926-9337",39330.53,,,,,,,,
"2018-08-25","13:09:40","GMT","Cool Widgets","Shopping Cart Payment Sent","Completed","USD",-49,0,-49,"N/A","paypal@safetymail.info","SAMPLE5AC798853592189","Non-US - Verified","Non-US","Shopping Cart",,0,0,0,,,,,,,,"0000-00-00",,,,5181282721862,,2,,39425.16,,,,,,,,
"2018-08-25","13:09:40","GMT","Cool Widgets","Shopping Cart Item","Completed","USD",49,0,0,"N/A","paypal@safetymail.info","SAMPLE5AC798853592189","Non-US - Verified","Non-US","Perfect Screen Recorder",5,0,0,0,,,,,,,,"0000-00-00",,,,5181282721862,,1,,39425.16,,,,,,,,
"2018-08-25","13:09:40","GMT","Cool Widgets","Shopping Cart Item","Completed","USD",0,0,0,"N/A","paypal@safetymail.info","SAMPLE5AC798853592189","Non-US - Verified","Non-US","PSR - Add On Effects",6,0,0,0,,,,,,,,"0000-00-00",,,,5181282721862,,1,,39425.16,,,,,,,,
"2018-08-26","14:35:18","GMT","Royce Morin","Shopping Cart Payment Received","Completed","USD",149,-5.37,143.63,"Royce.Morin@mailinator.com","N/A","SAMPLE23104078YM25811","Non-US - Unregistered",,"Shopping Cart",,0,0,0,,,,,,,,"0000-00-00",,,,,,1,"1152-9678-3439-6669",40227.36,,,,,,,,
"2018-08-26","14:35:18","GMT","Royce Morin","Shopping Cart Item","Completed","USD",149,0,0,"Royce.Morin@mailinator.com","N/A","SAMPLE23104078YM25811","Non-US - Unregistered",,"Web Entrepreneurs' Club - Annual","WEC-Y",0,0,0,,,,,,,,"0000-00-00",,,,,,1,"1152-9678-3439-6669",40227.36,,,,,,,,
"2018-08-28","21:35:44","GMT","Semhar Girmay","Shopping Cart Payment Received","Completed","USD",59,-2.31,56.69,"Semhar.Girmay@spambob.com","N/A","SAMPLE0L122478SE57310","Unregistered",,"Shopping Cart",,0,0,0,,,,,,,,"0000-00-00",,,,,,1,"0714-6390-7816-2080",41204.68,,,,,,,,
"2018-08-28","21:35:44","GMT","Semhar Girmay","Shopping Cart Item","Completed","USD",59,0,0,"Semhar.Girmay@spambob.com","N/A","SAMPLE0L122478SE57310","Unregistered",,"Web Entrepreneurs' Club - Renewal","WEC-R",0,0,0,,,,,,,,"0000-00-00",,,,,,1,"0714-6390-7816-2080",41204.68,,,,,,,,
"2018-08-30","13:35:16","GMT","Jamie Christie","Shopping Cart Payment Received","Completed","USD",149,-5.37,143.63,"Jamie.Christie@trashymail.com","N/A","SAMPLE82M00191G563781","Non-US - Unverified",,"Shopping Cart",,0,0,0,,,,,,,,"0000-00-00",,,,,,1,,42073.55,,,,,,,,
"2018-08-30","13:35:16","GMT","Jamie Christie","Shopping Cart Item","Completed","USD",149,0,0,"Jamie.Christie@trashymail.com","N/A","SAMPLE82M00191G563781","Non-US - Unverified",,"Web Entrepreneurs' Club - Annual","WEC-Y",0,0,0,,,,,,,,"0000-00-00",,,,,,1,,42073.55,,,,,,,,
"2018-09-01","02:17:23","GMT","Darlene Colburn","Shopping Cart Payment Received","Completed","USD",24,-1.12,22.88,"Darlene.J.Colburn@dodgit.com","N/A","SAMPLE0U0117966C84704","Non-US - Verified",,"Shopping Cart",,0,0,0,,,,,,,,"0000-00-00",,,,,,2,,42467.44,"Via Adua 82",,"Banchette","TO",10010,"IT","0315 9110812",
"2018-09-01","02:17:23","GMT","Darlene Colburn","Shopping Cart Item","Completed","USD",15,0,0,"Darlene.J.Colburn@dodgit.com","N/A","SAMPLE0U0117966C84704","Non-US - Verified",,"Entrepreneur - T-shirt","EN-T",0,0,0,,,,,,,,"0000-00-00",,,,,,1,,42467.44,"Via Adua 82",,"Banchette","TO",10010,"IT","0315 9110812",
"2018-09-01","02:17:23","GMT","Darlene Colburn","Shopping Cart Item","Completed","USD",9,0,0,"Darlene.J.Colburn@dodgit.com","N/A","SAMPLE0U0117966C84704","Non-US - Verified",,"Getting Things Done - a field guide to productivity - eBook","GTD-EB",0,0,0,,,,,,,,"0000-00-00",,,,,,1,,42467.44,"Via Adua 82",,"Banchette","TO",10010,"IT","0315 9110812",
"2018-09-03","00:37:53","GMT","Sebastian Hargreaves","Shopping Cart Payment Received","Refunded","USD",29,-1.23,27.77,"Sebastian.D.Hargreaves@mailinator.com","N/A","SAMPLE23754711EW09751","Non-US - Verified",,"Shopping Cart",,0,0,0,,,,,,,,"0000-00-00",,,,,,1,,43086.78,"Tompa u. 44.",,"Nyírcsászári",,4331,"HU","(42) 119-400",
"2018-09-03","00:37:53","GMT","Sebastian Hargreaves","Shopping Cart Item","Refunded","USD",29,0,0,"Sebastian.D.Hargreaves@mailinator.com","N/A","SAMPLE23754711EW09751","Non-US - Verified",,"Putler's Guide to Sales Analysis - Audio Book","PGSA-AB",0,0,0,,,,,,,,"0000-00-00",,,,,,1,,43086.78,"Tompa u. 44.",,"Nyírcsászári",,4331,"HU","(42) 119-400",
"2018-09-03","01:50:07","GMT","Matilda Despins","Shopping Cart Payment Received","Completed","USD",69,-2.51,66.49,"Matilda.Despins@dodgit.com","N/A","SAMPLE17396492LA63891","Non-US - Unregistered",,"Shopping Cart",,0,0,0,,,,,,,,"0000-00-00",,,,,,1,"2275-8226-2824-4270",43176.2,,,,,,,,
"2018-09-03","01:50:07","GMT","Matilda Despins","Shopping Cart Item","Completed","USD",69,0,0,"Matilda.Despins@dodgit.com","N/A","SAMPLE17396492LA63891","Non-US - Unregistered",,"Putler's Guide to Sales Analysis - eBook","PGSA-EB",0,0,0,,,,,,,,"0000-00-00",,,,,,1,"2275-8226-2824-4270",43176.2,,,,,,,,
"2018-09-03","01:57:37","GMT","Matilda Despins","Shopping Cart Payment Received","Completed","USD",149,-5.07,143.93,"Matilda.Despins@dodgit.com","N/A","SAMPLE54A38575G353250","Non-US - Unregistered",,"Shopping Cart",,0,0,0,,,,,,,,"0000-00-00",,,,,,1,"4297-5906-1894-6374",43320.13,,,,,,,,
"2018-09-03","01:57:37","GMT","Matilda Despins","Shopping Cart Item","Completed","USD",149,0,0,"Matilda.Despins@dodgit.com","N/A","SAMPLE54A38575G353250","Non-US - Unregistered",,"Web Entrepreneurs' Club - Annual","WEC-Y",0,0,0,,,,,,,,"0000-00-00",,,,,,1,"4297-5906-1894-6374",43320.13,,,,,,,,
"2018-09-03","23:40:24","GMT","Danny Tamayo","Shopping Cart Payment Received","Completed","USD",98,-3.44,94.56,"Danny.Tamayo.Berrios@trashymail.com","N/A","SAMPLE3C379808J013886","Non-US - Unverified",,"Shopping Cart",,0,0,0,,,,,,,,"0000-00-00",,,,,,2,,44066.11,,,,,,,,
"2018-09-03","23:40:24","GMT","Danny Tamayo","Shopping Cart Item","Completed","USD",39,0,0,"Danny.Tamayo.Berrios@trashymail.com","N/A","SAMPLE3C379808J013886","Non-US - Unverified",,"Putler's Guide to Sales Analysis - eBook - Special","PGSA-EB-S",0,0,0,,,,,,,,"0000-00-00",,,,,,1,,44066.11,,,,,,,,
"2018-09-03","23:40:24","GMT","Danny Tamayo","Shopping Cart Item","Completed","USD",59,0,0,"Danny.Tamayo.Berrios@trashymail.com","N/A","SAMPLE3C379808J013886","Non-US - Unverified",,"Web Entrepreneurs' Club - Renewal","WEC-R",0,0,0,,,,,,,,"0000-00-00",,,,,,1,,44066.11,,,,,,,,
"2018-09-04","22:29:39","GMT","Nouel Bélanger","Shopping Cart Payment Received","Completed","USD",29,-1.23,27.77,"Nouel.Bélanger@dodgit.com","N/A","SAMPLE5AJ09620N557769","Non-US - Verified",,"Shopping Cart",,0,0,0,,,,,,,,"0000-00-00",,,,,,1,,44419.19,"Laxenburger Strasse 18",,"KLACHL",,9560,"AT",,
"2018-09-04","22:29:39","GMT","Nouel Bélanger","Shopping Cart Item","Completed","USD",29,0,0,"Nouel.Bélanger@dodgit.com","N/A","SAMPLE5AJ09620N557769","Non-US - Verified",,"Putler's Guide to Sales Analysis - Audio Book","PGSA-AB",0,0,0,,,,,,,,"0000-00-00",,,,,,1,,44419.19,"Laxenburger Strasse 18",,"KLACHL",,9560,"AT",,
